,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,TIFGSM,catDog,alexnet,20_80,bing,0.9467453360557556,0.01,0.080882356,0.13821138211382114,0.03355704697986577
1,TIFGSM,catDog,alexnet,20_80,bing,0.8560802340507507,0.02,0.2904412,0.4878048780487805,0.12751677852348994
2,TIFGSM,catDog,alexnet,20_80,bing,0.8113413453102112,0.03,0.47058824,0.7154471544715447,0.2684563758389262
3,TIFGSM,catDog,alexnet,20_80,bing,0.7627488374710083,0.04,0.65808827,0.8617886178861789,0.4899328859060403
4,TIFGSM,catDog,alexnet,20_80,bing,0.7422825694084167,0.05,0.72058827,0.8943089430894309,0.5771812080536913
5,TIFGSM,catDog,alexnet,20_80,bing,0.7253137230873108,0.06,0.7941176,0.926829268292683,0.6845637583892618
6,TIFGSM,catDog,alexnet,20_80,bing,0.7208203077316284,0.07,0.8161765,0.926829268292683,0.7248322147651006
7,TIFGSM,catDog,alexnet,20_80,bing,0.7172625660896301,0.08,0.8235294,0.926829268292683,0.738255033557047
8,TIFGSM,catDog,alexnet,20_80,bing,0.7174011468887329,0.09,0.81985295,0.9349593495934959,0.7248322147651006
9,TIFGSM,catDog,alexnet,20_80,bing,0.7172403335571289,0.1,0.81985295,0.9349593495934959,0.7248322147651006
10,TIFGSM,catDog,alexnet,20_80,bing,0.7172655463218689,0.11,0.8272059,0.9349593495934959,0.738255033557047
11,TIFGSM,catDog,alexnet,20_80,bing,0.7175574898719788,0.12,0.8308824,0.9349593495934959,0.7449664429530202
12,TIFGSM,catDog,alexnet,20_80,bing,0.7172672152519226,0.13,0.8235294,0.9349593495934959,0.7315436241610739
13,TIFGSM,catDog,alexnet,20_80,bing,0.7173557281494141,0.14,0.81985295,0.9349593495934959,0.7248322147651006
14,TIFGSM,catDog,alexnet,20_80,bing,0.7173061370849609,0.15,0.83455884,0.9349593495934959,0.7516778523489933
15,TIFGSM,catDog,alexnet,20_80,bing,0.7174746990203857,0.16,0.8235294,0.9349593495934959,0.7315436241610739
16,TIFGSM,catDog,alexnet,20_80,bing,0.7173749804496765,0.17,0.8272059,0.9349593495934959,0.738255033557047
17,TIFGSM,catDog,alexnet,20_80,bing,0.7173880934715271,0.18,0.8308824,0.9349593495934959,0.7449664429530202
18,TIFGSM,catDog,alexnet,20_80,bing,0.717482328414917,0.19,0.8272059,0.9349593495934959,0.738255033557047
19,TIFGSM,catDog,alexnet,20_80,bing,0.7171761393547058,0.2,0.8235294,0.9349593495934959,0.7315436241610739
20,TIFGSM,catDog,alexnet,20_80,bing,0.7173981666564941,0.21,0.8308824,0.9349593495934959,0.7449664429530202
21,TIFGSM,catDog,alexnet,20_80,bing,0.7172743082046509,0.22,0.83455884,0.943089430894309,0.7449664429530202
22,TIFGSM,catDog,alexnet,20_80,bing,0.717275083065033,0.23,0.83455884,0.9349593495934959,0.7516778523489933
23,TIFGSM,catDog,alexnet,20_80,bing,0.7173904180526733,0.24,0.8308824,0.943089430894309,0.738255033557047
24,TIFGSM,catDog,alexnet,20_80,bing,0.7173851132392883,0.25,0.8235294,0.9349593495934959,0.7315436241610739
25,TIFGSM,catDog,alexnet,20_80,bing,0.7177472114562988,0.26,0.8308824,0.926829268292683,0.7516778523489933
26,TIFGSM,catDog,alexnet,20_80,bing,0.7174661755561829,0.27,0.8235294,0.926829268292683,0.738255033557047
27,TIFGSM,catDog,alexnet,20_80,bing,0.7173744440078735,0.28,0.83455884,0.9349593495934959,0.7516778523489933
28,TIFGSM,catDog,alexnet,20_80,bing,0.7173786163330078,0.29,0.8272059,0.9349593495934959,0.738255033557047
29,TIFGSM,catDog,alexnet,20_80,bing,0.7173687219619751,0.3,0.8272059,0.9349593495934959,0.738255033557047
30,TIFGSM,catDog,alexnet,30_70,bing,0.9467575550079346,0.01,0.08098591,0.10948905109489052,0.05442176870748299
31,TIFGSM,catDog,alexnet,30_70,bing,0.8554567098617554,0.02,0.2746479,0.32116788321167883,0.23129251700680273
32,TIFGSM,catDog,alexnet,30_70,bing,0.8106337189674377,0.03,0.44014084,0.5182481751824818,0.3673469387755102
33,TIFGSM,catDog,alexnet,30_70,bing,0.7614067196846008,0.04,0.65845066,0.7153284671532847,0.6054421768707483
34,TIFGSM,catDog,alexnet,30_70,bing,0.7407295107841492,0.05,0.7535211,0.8029197080291971,0.7074829931972789
35,TIFGSM,catDog,alexnet,30_70,bing,0.7230402231216431,0.06,0.8415493,0.8613138686131386,0.8231292517006803
36,TIFGSM,catDog,alexnet,30_70,bing,0.7182866334915161,0.07,0.83802813,0.8540145985401459,0.8231292517006803
37,TIFGSM,catDog,alexnet,30_70,bing,0.71495521068573,0.08,0.86619717,0.8686131386861314,0.8639455782312925
38,TIFGSM,catDog,alexnet,30_70,bing,0.7150428891181946,0.09,0.85915494,0.8759124087591241,0.8435374149659864
39,TIFGSM,catDog,alexnet,30_70,bing,0.715106189250946,0.1,0.862676,0.8832116788321168,0.8435374149659864
40,TIFGSM,catDog,alexnet,30_70,bing,0.7150242924690247,0.11,0.85915494,0.8686131386861314,0.8503401360544217
41,TIFGSM,catDog,alexnet,30_70,bing,0.7149782776832581,0.12,0.86619717,0.8759124087591241,0.8571428571428571
42,TIFGSM,catDog,alexnet,30_70,bing,0.7150321006774902,0.13,0.8485915,0.8613138686131386,0.8367346938775511
43,TIFGSM,catDog,alexnet,30_70,bing,0.7151252031326294,0.14,0.86619717,0.8759124087591241,0.8571428571428571
44,TIFGSM,catDog,alexnet,30_70,bing,0.7149564623832703,0.15,0.862676,0.8759124087591241,0.8503401360544217
45,TIFGSM,catDog,alexnet,30_70,bing,0.7150095701217651,0.16,0.8697183,0.8905109489051095,0.8503401360544217
46,TIFGSM,catDog,alexnet,30_70,bing,0.714847981929779,0.17,0.862676,0.8686131386861314,0.8571428571428571
47,TIFGSM,catDog,alexnet,30_70,bing,0.7148674130439758,0.18,0.85915494,0.8686131386861314,0.8503401360544217
48,TIFGSM,catDog,alexnet,30_70,bing,0.7149617075920105,0.19,0.8556338,0.8686131386861314,0.8435374149659864
49,TIFGSM,catDog,alexnet,30_70,bing,0.7150232195854187,0.2,0.8697183,0.8832116788321168,0.8571428571428571
50,TIFGSM,catDog,alexnet,30_70,bing,0.7150048613548279,0.21,0.8556338,0.8613138686131386,0.8503401360544217
51,TIFGSM,catDog,alexnet,30_70,bing,0.7149942517280579,0.22,0.86619717,0.8832116788321168,0.8503401360544217
52,TIFGSM,catDog,alexnet,30_70,bing,0.714877188205719,0.23,0.86619717,0.8832116788321168,0.8503401360544217
