,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BIM,manWoman,alexnet,20_80,bing,0.9572723507881165,0.01,0.03937008,0.046666667,0.029126214
1,BIM,manWoman,alexnet,20_80,bing,0.8637306094169617,0.02,0.17322835,0.22,0.106796116
2,BIM,manWoman,alexnet,20_80,bing,0.8157560229301453,0.03,0.2952756,0.36666667,0.18446602
3,BIM,manWoman,alexnet,20_80,bing,0.7689821124076843,0.04,0.4015748,0.47333336,0.29126215
4,BIM,manWoman,alexnet,20_80,bing,0.7499330043792725,0.05,0.47637796,0.53333336,0.38834953
5,BIM,manWoman,alexnet,20_80,bing,0.7353569865226746,0.06,0.5551181,0.6466667,0.41747573
6,BIM,manWoman,alexnet,20_80,bing,0.7313060760498047,0.07,0.5787402,0.67333335,0.4368932
7,BIM,manWoman,alexnet,20_80,bing,0.7282817363739014,0.08,0.5787402,0.68,0.42718446
8,BIM,manWoman,alexnet,20_80,bing,0.7284379005432129,0.09,0.5944882,0.68666667,0.4563107
9,BIM,manWoman,alexnet,20_80,bing,0.7283056378364563,0.1,0.5866142,0.68666667,0.4368932
10,BIM,manWoman,alexnet,20_80,bing,0.7283656597137451,0.11,0.5944882,0.67333335,0.47572815
11,BIM,manWoman,alexnet,20_80,bing,0.7283956408500671,0.12,0.5826772,0.68,0.4368932
12,BIM,manWoman,alexnet,20_80,bing,0.7282983064651489,0.13,0.5787402,0.68666667,0.41747573
13,BIM,manWoman,alexnet,20_80,bing,0.7283065915107727,0.14,0.6023622,0.7066667,0.44660196
14,BIM,manWoman,alexnet,20_80,bing,0.7283570766448975,0.15,0.5826772,0.68666667,0.42718446
15,BIM,manWoman,alexnet,20_80,bing,0.728358805179596,0.16,0.5984252,0.67333335,0.4854369
16,BIM,manWoman,alexnet,20_80,bing,0.7283893823623657,0.17,0.5787402,0.68,0.42718446
17,BIM,manWoman,alexnet,20_80,bing,0.727949321269989,0.18,0.5748032,0.65333337,0.4563107
18,BIM,manWoman,alexnet,20_80,bing,0.7284179925918579,0.19,0.5905512,0.6933333,0.4368932
19,BIM,manWoman,alexnet,20_80,bing,0.728375256061554,0.2,0.57086617,0.66,0.4368932
20,BIM,manWoman,alexnet,20_80,bing,0.7286629676818848,0.21,0.5984252,0.68,0.47572815
21,BIM,manWoman,alexnet,20_80,bing,0.7284650802612305,0.22,0.5984252,0.6933333,0.4563107
22,BIM,manWoman,alexnet,20_80,bing,0.7286093235015869,0.23,0.5748032,0.67333335,0.42718446
23,BIM,manWoman,alexnet,20_80,bing,0.7284261584281921,0.24,0.5984252,0.67333335,0.4854369
24,BIM,manWoman,alexnet,20_80,bing,0.7282882928848267,0.25,0.5787402,0.68,0.42718446
25,BIM,manWoman,alexnet,20_80,bing,0.7284086346626282,0.26,0.5826772,0.6666667,0.4563107
26,BIM,manWoman,alexnet,20_80,bing,0.7286508679389954,0.27,0.5826772,0.68,0.4368932
27,BIM,manWoman,alexnet,20_80,bing,0.7284486889839172,0.28,0.5787402,0.6666667,0.44660196
