,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,BoxBlur,manWoman,alexnet,20_80,bing,0.9580744504928589,0.5,0.011627907,0.017543859649122806,0.006944444444444444
1,BoxBlur,manWoman,alexnet,20_80,bing,0.9361884593963623,1.0,0.011627907,0.02631578947368421,0.0
2,BoxBlur,manWoman,alexnet,20_80,bing,0.8638197183609009,1.5,0.027131783,0.043859649122807015,0.013888888888888888
3,BoxBlur,manWoman,alexnet,20_80,bing,0.8146377205848694,2.0,0.03875969,0.06140350877192982,0.020833333333333332
4,BoxBlur,manWoman,alexnet,20_80,bing,0.741020679473877,2.5,0.085271314,0.14035087719298245,0.041666666666666664
5,BoxBlur,manWoman,alexnet,20_80,bing,0.6915922164916992,3.0,0.1007752,0.15789473684210525,0.05555555555555555
6,BoxBlur,manWoman,alexnet,20_80,bing,0.6368398666381836,3.5,0.12015504,0.20175438596491227,0.05555555555555555
7,BoxBlur,manWoman,alexnet,20_80,bing,0.5938563942909241,4.0,0.12403101,0.21929824561403508,0.04861111111111111
8,BoxBlur,manWoman,alexnet,20_80,bing,0.5519832372665405,4.5,0.15503876,0.2631578947368421,0.06944444444444445
9,BoxBlur,manWoman,alexnet,20_80,bing,0.5184893608093262,5.0,0.15891473,0.2807017543859649,0.0625
10,BoxBlur,manWoman,alexnet,20_80,bing,0.4871383011341095,5.5,0.17054263,0.30701754385964913,0.0625
11,BoxBlur,manWoman,alexnet,20_80,bing,0.4612714350223541,6.0,0.18992248,0.34210526315789475,0.06944444444444445
12,BoxBlur,manWoman,alexnet,20_80,bing,0.43658533692359924,6.5,0.2248062,0.38596491228070173,0.09722222222222222
13,BoxBlur,manWoman,alexnet,20_80,bing,0.416774183511734,7.0,0.22868218,0.39473684210526316,0.09722222222222222
14,BoxBlur,manWoman,alexnet,20_80,bing,0.3977775275707245,7.5,0.25581396,0.4298245614035088,0.11805555555555555
15,BoxBlur,manWoman,alexnet,20_80,bing,0.3812021017074585,8.0,0.25968993,0.4649122807017544,0.09722222222222222
