,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,DeepFool,manWoman,alexnet,20_80,bing,0.9425690174102783,10,0.031496063,0.006666667,0.067961164
1,DeepFool,manWoman,alexnet,20_80,bing,0.9355910420417786,11,0.03543307,0.006666667,0.0776699
2,DeepFool,manWoman,alexnet,20_80,bing,0.9284072518348694,12,0.031496063,0.013333334,0.058252428
3,DeepFool,manWoman,alexnet,20_80,bing,0.9210315346717834,13,0.03937008,0.013333334,0.0776699
4,DeepFool,manWoman,alexnet,20_80,bing,0.913854718208313,14,0.04330709,0.013333334,0.08737864
5,DeepFool,manWoman,alexnet,20_80,bing,0.9066057801246643,15,0.047244094,0.02,0.08737864
6,DeepFool,manWoman,alexnet,20_80,bing,0.8992042541503906,16,0.04330709,0.02,0.0776699
7,DeepFool,manWoman,alexnet,20_80,bing,0.8918395638465881,17,0.0511811,0.02,0.09708738
8,DeepFool,manWoman,alexnet,20_80,bing,0.8844603300094604,18,0.047244094,0.013333334,0.09708738
9,DeepFool,manWoman,alexnet,20_80,bing,0.8768435120582581,19,0.0511811,0.02,0.09708738
10,DeepFool,manWoman,alexnet,20_80,bing,0.869250476360321,20,0.047244094,0.02,0.08737864
11,DeepFool,manWoman,alexnet,20_80,bing,0.8619640469551086,21,0.05511811,0.026666667,0.09708738
12,DeepFool,manWoman,alexnet,20_80,bing,0.8546646237373352,22,0.05905512,0.04,0.08737864
13,DeepFool,manWoman,alexnet,20_80,bing,0.8472821116447449,23,0.05905512,0.046666667,0.0776699
14,DeepFool,manWoman,alexnet,20_80,bing,0.8402727246284485,24,0.05905512,0.046666667,0.0776699
15,DeepFool,manWoman,alexnet,20_80,bing,0.8329727053642273,25,0.062992126,0.046666667,0.08737864
16,DeepFool,manWoman,alexnet,20_80,bing,0.8259240388870239,26,0.0511811,0.046666667,0.058252428
17,DeepFool,manWoman,alexnet,20_80,bing,0.8188685178756714,27,0.0511811,0.046666667,0.058252428
