,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,FGSM,manWoman,alexnet,20_80,bing,0.9395631551742554,0.01,0.05836576,0.09734513274336283,0.027777777777777776
1,FGSM,manWoman,alexnet,20_80,bing,0.8030169010162354,0.02,0.18677042,0.2831858407079646,0.1111111111111111
2,FGSM,manWoman,alexnet,20_80,bing,0.7303710579872131,0.03,0.25291827,0.3805309734513274,0.1527777777777778
3,FGSM,manWoman,alexnet,20_80,bing,0.6354227066040039,0.04,0.3696498,0.5221238938053098,0.25
4,FGSM,manWoman,alexnet,20_80,bing,0.5854125022888184,0.05,0.45136186,0.6371681415929203,0.3055555555555556
5,FGSM,manWoman,alexnet,20_80,bing,0.5188301801681519,0.06,0.47859922,0.7168141592920354,0.2916666666666667
6,FGSM,manWoman,alexnet,20_80,bing,0.48039281368255615,0.07,0.48249027,0.7610619469026548,0.2638888888888889
7,FGSM,manWoman,alexnet,20_80,bing,0.4313341975212097,0.08,0.49027237,0.8230088495575221,0.22916666666666666
8,FGSM,manWoman,alexnet,20_80,bing,0.4015600085258484,0.09,0.51361865,0.8849557522123894,0.2222222222222222
9,FGSM,manWoman,alexnet,20_80,bing,0.3631885051727295,0.1,0.51361865,0.9203539823008849,0.19444444444444445
10,FGSM,manWoman,alexnet,20_80,bing,0.32858309149742126,0.11,0.5019455,0.9557522123893806,0.14583333333333334
11,FGSM,manWoman,alexnet,20_80,bing,0.30866488814353943,0.12,0.49416342,0.9734513274336283,0.11805555555555555
12,FGSM,manWoman,alexnet,20_80,bing,0.28127679228782654,0.13,0.46692607,0.9823008849557522,0.0625
13,FGSM,manWoman,alexnet,20_80,bing,0.2641682028770447,0.14,0.45914397,0.9911504424778761,0.041666666666666664
14,FGSM,manWoman,alexnet,20_80,bing,0.24203631281852722,0.15,0.45525292,1.0,0.027777777777777776
15,FGSM,manWoman,alexnet,20_80,bing,0.22801248729228973,0.16,0.45525292,1.0,0.027777777777777776
16,FGSM,manWoman,alexnet,20_80,bing,0.20968720316886902,0.17,0.45136186,1.0,0.020833333333333332
17,FGSM,manWoman,alexnet,20_80,bing,0.19851656258106232,0.18,0.4474708,1.0,0.013888888888888888
18,FGSM,manWoman,alexnet,20_80,bing,0.1829260140657425,0.19,0.44357976,1.0,0.006944444444444444
19,FGSM,manWoman,alexnet,20_80,bing,0.1708335131406784,0.2,0.44357976,1.0,0.006944444444444444
20,FGSM,manWoman,alexnet,20_80,bing,0.1602625995874405,0.21,0.44357976,1.0,0.006944444444444444
21,FGSM,manWoman,alexnet,20_80,bing,0.1484631448984146,0.22,0.4396887,1.0,0.0
22,FGSM,manWoman,alexnet,20_80,bing,0.14089250564575195,0.23,0.4396887,1.0,0.0
23,FGSM,manWoman,alexnet,20_80,bing,0.13066528737545013,0.24,0.4396887,1.0,0.0
24,FGSM,manWoman,alexnet,20_80,bing,0.12436718493700027,0.25,0.4396887,1.0,0.0
25,FGSM,manWoman,alexnet,20_80,bing,0.11533993482589722,0.26,0.4396887,1.0,0.0
26,FGSM,manWoman,alexnet,20_80,bing,0.10981776565313339,0.27,0.4396887,1.0,0.0
27,FGSM,manWoman,alexnet,20_80,bing,0.10188370943069458,0.28,0.4396887,1.0,0.0
28,FGSM,manWoman,alexnet,20_80,bing,0.09692125022411346,0.29,0.4396887,1.0,0.0
29,FGSM,manWoman,alexnet,20_80,bing,0.08999975025653839,0.3,0.4396887,1.0,0.0
30,FGSM,manWoman,alexnet,30_70,bing,0.9399970173835754,0.01,0.03773585,0.03225806451612903,0.0425531914893617
31,FGSM,manWoman,alexnet,30_70,bing,0.8032135963439941,0.02,0.20754717,0.24193548387096775,0.1773049645390071
32,FGSM,manWoman,alexnet,30_70,bing,0.7312958240509033,0.03,0.2792453,0.33064516129032256,0.23404255319148937
33,FGSM,manWoman,alexnet,30_70,bing,0.6361619830131531,0.04,0.41509435,0.49193548387096775,0.3475177304964539
34,FGSM,manWoman,alexnet,30_70,bing,0.5861616134643555,0.05,0.4716981,0.5887096774193549,0.36879432624113473
35,FGSM,manWoman,alexnet,30_70,bing,0.519430935382843,0.06,0.5471698,0.7338709677419355,0.3829787234042553
36,FGSM,manWoman,alexnet,30_70,bing,0.4807528853416443,0.07,0.53962266,0.7661290322580645,0.3404255319148936
37,FGSM,manWoman,alexnet,30_70,bing,0.43156322836875916,0.08,0.5660378,0.8870967741935484,0.28368794326241137
38,FGSM,manWoman,alexnet,30_70,bing,0.4016895890235901,0.09,0.54339623,0.9112903225806451,0.2198581560283688
39,FGSM,manWoman,alexnet,30_70,bing,0.36312809586524963,0.1,0.5283019,0.9596774193548387,0.14893617021276595
40,FGSM,manWoman,alexnet,30_70,bing,0.32841771841049194,0.11,0.51320755,0.9596774193548387,0.12056737588652482
41,FGSM,manWoman,alexnet,30_70,bing,0.3084298372268677,0.12,0.49056605,0.9596774193548387,0.07801418439716312
