,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GaussianNoise,manWoman,alexnet,20_80,bing,0.6251171231269836,0.005,0.11673152,0.11504424778761062,0.11805555555555555
1,GaussianNoise,manWoman,alexnet,20_80,bing,0.5182287096977234,0.01,0.17509727,0.22123893805309736,0.1388888888888889
2,GaussianNoise,manWoman,alexnet,20_80,bing,0.44678065180778503,0.015,0.25291827,0.36283185840707965,0.16666666666666666
3,GaussianNoise,manWoman,alexnet,20_80,bing,0.3923986256122589,0.02,0.29571983,0.45132743362831856,0.1736111111111111
4,GaussianNoise,manWoman,alexnet,20_80,bing,0.34934699535369873,0.025,0.3229572,0.5221238938053098,0.16666666666666666
5,GaussianNoise,manWoman,alexnet,20_80,bing,0.3150779604911804,0.03,0.35019454,0.5929203539823009,0.1597222222222222
6,GaussianNoise,manWoman,alexnet,20_80,bing,0.2866169512271881,0.035,0.36575875,0.6548672566371682,0.1388888888888889
7,GaussianNoise,manWoman,alexnet,20_80,bing,0.26248204708099365,0.04,0.40466926,0.7433628318584071,0.1388888888888889
8,GaussianNoise,manWoman,alexnet,20_80,bing,0.24227215349674225,0.045,0.4007782,0.7787610619469026,0.10416666666666667
9,GaussianNoise,manWoman,alexnet,20_80,bing,0.2246192842721939,0.05,0.4085603,0.8141592920353983,0.09027777777777778
10,GaussianNoise,manWoman,alexnet,20_80,bing,0.20923683047294617,0.055,0.42801556,0.8672566371681416,0.08333333333333333
11,GaussianNoise,manWoman,alexnet,20_80,bing,0.19515447318553925,0.06,0.42801556,0.8938053097345132,0.0625
12,GaussianNoise,manWoman,alexnet,20_80,bing,0.18282411992549896,0.065,0.41245136,0.8849557522123894,0.041666666666666664
13,GaussianNoise,manWoman,alexnet,20_80,bing,0.17169718444347382,0.07,0.4396887,0.9469026548672567,0.041666666666666664
14,GaussianNoise,manWoman,alexnet,20_80,bing,0.16144458949565887,0.075,0.4396887,0.9646017699115044,0.027777777777777776
15,GaussianNoise,manWoman,alexnet,20_80,bing,0.1522446870803833,0.08,0.4474708,0.9823008849557522,0.027777777777777776
16,GaussianNoise,manWoman,alexnet,20_80,bing,0.14348964393138885,0.085,0.4396887,0.9646017699115044,0.027777777777777776
17,GaussianNoise,manWoman,alexnet,20_80,bing,0.13563886284828186,0.09,0.44357976,0.9734513274336283,0.027777777777777776
18,GaussianNoise,manWoman,alexnet,20_80,bing,0.1282491236925125,0.095,0.44357976,0.9911504424778761,0.013888888888888888
19,GaussianNoise,manWoman,alexnet,20_80,bing,0.12160967290401459,0.1,0.44357976,0.9823008849557522,0.020833333333333332
20,GaussianNoise,manWoman,alexnet,30_70,bing,0.6251001954078674,0.005,0.10566038,0.08064516129032258,0.1276595744680851
21,GaussianNoise,manWoman,alexnet,30_70,bing,0.5180670022964478,0.01,0.19245283,0.22580645161290322,0.16312056737588654
