,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,GreyScale,manWoman,alexnet,20_80,bing,0.741560161113739,1,0.08267716,0.086666666,0.0776699
1,GreyScale,manWoman,alexnet,30_70,bing,0.741560161113739,1,0.07434944,0.086666666,0.059322033
2,GreyScale,manWoman,alexnet,40_60,bing,0.741560161113739,1,0.08921933,0.060000002,0.12711865
3,GreyScale,manWoman,alexnet,50_50,bing,0.741560161113739,1,0.06909091,0.026666667,0.12096774
4,GreyScale,manWoman,resnet,20_80,bing,0.741560161113739,1,0.039285716,0.033333335,0.046511628
5,GreyScale,manWoman,resnet,30_70,bing,0.741560161113739,1,0.028571429,0.013333334,0.046511628
6,GreyScale,manWoman,resnet,40_60,bing,0.741560161113739,1,0.035211265,0.02,0.05263158
7,GreyScale,manWoman,resnet,50_50,bing,0.741560161113739,1,0.017730497,0.013333334,0.022900764
8,GreyScale,manWoman,vgg,20_80,bing,0.741560161113739,1,0.035842292,0.026666667,0.046875
9,GreyScale,manWoman,vgg,30_70,bing,0.741560161113739,1,0.035714287,0.013333334,0.062015504
10,GreyScale,manWoman,vgg,40_60,bing,0.741560161113739,1,0.024822693,0.013333334,0.03816794
11,GreyScale,manWoman,vgg,50_50,bing,0.741560161113739,1,0.03169014,0.02,0.04511278
12,GreyScale,manWoman,alexnet,20_80,google,0.7746255993843079,1,0.075,0.1,0.033707865
13,GreyScale,manWoman,alexnet,30_70,google,0.7746255993843079,1,0.10588236,0.13333334,0.067307696
14,GreyScale,manWoman,alexnet,40_60,google,0.7746255993843079,1,0.080152676,0.08,0.081081085
15,GreyScale,manWoman,alexnet,50_50,google,0.7746255993843079,1,0.12355212,0.093333334,0.16666667
16,GreyScale,manWoman,resnet,20_80,google,0.7746255993843079,1,0.050980397,0.07333334,0.01923077
17,GreyScale,manWoman,resnet,30_70,google,0.7746255993843079,1,0.056603774,0.086666666,0.01754386
18,GreyScale,manWoman,resnet,40_60,google,0.7746255993843079,1,0.059925094,0.07333334,0.04310345
19,GreyScale,manWoman,resnet,50_50,google,0.7746255993843079,1,0.07380074,0.06666667,0.083333336
20,GreyScale,manWoman,vgg,20_80,google,0.7746255993843079,1,0.054744527,0.086666666,0.016260162
21,GreyScale,manWoman,vgg,30_70,google,0.7746255993843079,1,0.043636363,0.06666667,0.016129032
22,GreyScale,manWoman,vgg,40_60,google,0.7746255993843079,1,0.04379562,0.04,0.048780486
23,GreyScale,manWoman,vgg,50_50,google,0.7746255993843079,1,0.05882353,0.026666667,0.099173546
