,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,InvertColor,manWoman,alexnet,20_80,bing,0.45962488651275635,1,0.39370078,0.66,0.009708738
1,InvertColor,manWoman,alexnet,30_70,bing,0.45962488651275635,1,0.401487,0.72,0.0
2,InvertColor,manWoman,alexnet,40_60,bing,0.45962488651275635,1,0.33828995,0.5733333,0.042372882
3,InvertColor,manWoman,alexnet,50_50,bing,0.45962488651275635,1,0.32,0.58000004,0.008064516
4,InvertColor,manWoman,resnet,20_80,bing,0.45962488651275635,1,0.35714287,0.6666667,0.0
5,InvertColor,manWoman,resnet,30_70,bing,0.45962488651275635,1,0.28928572,0.54,0.0
6,InvertColor,manWoman,resnet,40_60,bing,0.45962488651275635,1,0.25704226,0.45333335,0.037593987
7,InvertColor,manWoman,resnet,50_50,bing,0.45962488651275635,1,0.19148935,0.34666666,0.015267176
8,InvertColor,manWoman,vgg,20_80,bing,0.45962488651275635,1,0.41577062,0.7666667,0.0078125
9,InvertColor,manWoman,vgg,30_70,bing,0.45962488651275635,1,0.40357143,0.74666667,0.007751938
10,InvertColor,manWoman,vgg,40_60,bing,0.45962488651275635,1,0.35815603,0.6666667,0.007633588
11,InvertColor,manWoman,vgg,50_50,bing,0.45962488651275635,1,0.33802816,0.64,0.0
12,InvertColor,manWoman,alexnet,20_80,google,0.3613075315952301,1,0.37500003,0.56,0.06741573
13,InvertColor,manWoman,alexnet,30_70,google,0.3613075315952301,1,0.36078432,0.5733333,0.05769231
14,InvertColor,manWoman,alexnet,40_60,google,0.3613075315952301,1,0.2557252,0.35333335,0.12612613
15,InvertColor,manWoman,alexnet,50_50,google,0.3613075315952301,1,0.3088803,0.28,0.35185185
16,InvertColor,manWoman,resnet,20_80,google,0.3613075315952301,1,0.32941177,0.56,0.0
17,InvertColor,manWoman,resnet,30_70,google,0.3613075315952301,1,0.2792453,0.48666668,0.00877193
18,InvertColor,manWoman,resnet,40_60,google,0.3613075315952301,1,0.2883895,0.48000002,0.04310345
19,InvertColor,manWoman,resnet,50_50,google,0.3613075315952301,1,0.23247233,0.37333333,0.050000004
20,InvertColor,manWoman,vgg,20_80,google,0.3613075315952301,1,0.33576643,0.61333334,0.0
21,InvertColor,manWoman,vgg,30_70,google,0.3613075315952301,1,0.32,0.58000004,0.008064516
22,InvertColor,manWoman,vgg,40_60,google,0.3613075315952301,1,0.229927,0.39333335,0.032520324
23,InvertColor,manWoman,vgg,50_50,google,0.3613075315952301,1,0.16176471,0.24666667,0.057851236
