,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,PGD,manWoman,alexnet,20_80,bing,0.9536605477333069,0.01,0.05836576,0.08849557522123894,0.034722222222222224
1,PGD,manWoman,alexnet,20_80,bing,0.8601172566413879,0.02,0.20233463,0.2831858407079646,0.1388888888888889
2,PGD,manWoman,alexnet,20_80,bing,0.8166363835334778,0.03,0.26459143,0.35398230088495575,0.19444444444444445
3,PGD,manWoman,alexnet,20_80,bing,0.7650107145309448,0.04,0.3929961,0.5309734513274337,0.2847222222222222
4,PGD,manWoman,alexnet,20_80,bing,0.7418081760406494,0.05,0.45914397,0.6106194690265486,0.3402777777777778
5,PGD,manWoman,alexnet,20_80,bing,0.7091066241264343,0.06,0.50583655,0.6814159292035398,0.3680555555555556
6,PGD,manWoman,alexnet,20_80,bing,0.6896326541900635,0.07,0.51361865,0.6814159292035398,0.3819444444444444
7,PGD,manWoman,alexnet,20_80,bing,0.6625584959983826,0.08,0.5564202,0.6991150442477876,0.4444444444444444
8,PGD,manWoman,alexnet,20_80,bing,0.644584059715271,0.09,0.55252916,0.6902654867256637,0.4444444444444444
9,PGD,manWoman,alexnet,20_80,bing,0.6209118366241455,0.1,0.5719844,0.7168141592920354,0.4583333333333333
10,PGD,manWoman,alexnet,20_80,bing,0.5991074442863464,0.11,0.59143966,0.7433628318584071,0.4722222222222222
11,PGD,manWoman,alexnet,20_80,bing,0.5828260779380798,0.12,0.59922177,0.7433628318584071,0.4861111111111111
12,PGD,manWoman,alexnet,20_80,bing,0.5632779002189636,0.13,0.6031128,0.7610619469026548,0.4791666666666667
13,PGD,manWoman,alexnet,20_80,bing,0.5476192235946655,0.14,0.6031128,0.7610619469026548,0.4791666666666667
14,PGD,manWoman,alexnet,20_80,bing,0.5295040011405945,0.15,0.6031128,0.7522123893805309,0.4861111111111111
15,PGD,manWoman,alexnet,20_80,bing,0.5147182941436768,0.16,0.58365756,0.7433628318584071,0.4583333333333333
16,PGD,manWoman,alexnet,20_80,bing,0.49777457118034363,0.17,0.59922177,0.7787610619469026,0.4583333333333333
17,PGD,manWoman,alexnet,20_80,bing,0.48313307762145996,0.18,0.5797665,0.7610619469026548,0.4375
18,PGD,manWoman,alexnet,20_80,bing,0.46667709946632385,0.19,0.59143966,0.7610619469026548,0.4583333333333333
19,PGD,manWoman,alexnet,20_80,bing,0.45129671692848206,0.2,0.6108949,0.7699115044247787,0.4861111111111111
20,PGD,manWoman,alexnet,20_80,bing,0.43651464581489563,0.21,0.60700387,0.7876106194690266,0.4652777777777778
21,PGD,manWoman,alexnet,20_80,bing,0.42124417424201965,0.22,0.5797665,0.7610619469026548,0.4375
22,PGD,manWoman,alexnet,20_80,bing,0.40763747692108154,0.23,0.59143966,0.8053097345132744,0.4236111111111111
23,PGD,manWoman,alexnet,20_80,bing,0.3931782841682434,0.24,0.59922177,0.831858407079646,0.4166666666666667
24,PGD,manWoman,alexnet,20_80,bing,0.3804928660392761,0.25,0.6031128,0.831858407079646,0.4236111111111111
25,PGD,manWoman,alexnet,20_80,bing,0.36708199977874756,0.26,0.59143966,0.8495575221238938,0.3888888888888889
26,PGD,manWoman,alexnet,20_80,bing,0.3553829789161682,0.27,0.5875486,0.8495575221238938,0.3819444444444444
27,PGD,manWoman,alexnet,20_80,bing,0.343012273311615,0.28,0.59922177,0.8761061946902655,0.3819444444444444
28,PGD,manWoman,alexnet,20_80,bing,0.3322412371635437,0.29,0.58365756,0.8761061946902655,0.3541666666666667
29,PGD,manWoman,alexnet,20_80,bing,0.3210269808769226,0.3,0.5719844,0.8672566371681416,0.3402777777777778
30,PGD,manWoman,alexnet,30_70,bing,0.9576640129089355,0.01,0.026415095,0.016129032258064516,0.03546099290780142
31,PGD,manWoman,alexnet,30_70,bing,0.8642827868461609,0.02,0.23018868,0.22580645161290322,0.23404255319148937
32,PGD,manWoman,alexnet,30_70,bing,0.8190084099769592,0.03,0.31698114,0.3467741935483871,0.2907801418439716
33,PGD,manWoman,alexnet,30_70,bing,0.7661410570144653,0.04,0.4264151,0.43548387096774194,0.41843971631205673
34,PGD,manWoman,alexnet,30_70,bing,0.7412665486335754,0.05,0.46415097,0.4596774193548387,0.46808510638297873
35,PGD,manWoman,alexnet,30_70,bing,0.707441508769989,0.06,0.5471698,0.5483870967741935,0.5460992907801419
36,PGD,manWoman,alexnet,30_70,bing,0.6874035000801086,0.07,0.554717,0.5483870967741935,0.5602836879432624
37,PGD,manWoman,alexnet,30_70,bing,0.6600248217582703,0.08,0.5924528,0.6209677419354839,0.5673758865248227
38,PGD,manWoman,alexnet,30_70,bing,0.6420397758483887,0.09,0.6037736,0.6129032258064516,0.5957446808510638
39,PGD,manWoman,alexnet,30_70,bing,0.6181378960609436,0.1,0.61132073,0.6370967741935484,0.5886524822695035
40,PGD,manWoman,alexnet,30_70,bing,0.5966042280197144,0.11,0.62641513,0.6693548387096774,0.5886524822695035
41,PGD,manWoman,alexnet,30_70,bing,0.5801153779029846,0.12,0.6339623,0.6774193548387096,0.5957446808510638
42,PGD,manWoman,alexnet,30_70,bing,0.5606204867362976,0.13,0.6679245,0.7338709677419355,0.6099290780141844
43,PGD,manWoman,alexnet,30_70,bing,0.5453181266784668,0.14,0.6490566,0.7419354838709677,0.5673758865248227
44,PGD,manWoman,alexnet,30_70,bing,0.5272927284240723,0.15,0.66415095,0.7661290322580645,0.574468085106383
45,PGD,manWoman,alexnet,30_70,bing,0.5125072598457336,0.16,0.66415095,0.7661290322580645,0.574468085106383
46,PGD,manWoman,alexnet,30_70,bing,0.49562859535217285,0.17,0.66415095,0.782258064516129,0.5602836879432624
47,PGD,manWoman,alexnet,30_70,bing,0.48121407628059387,0.18,0.6528302,0.7903225806451613,0.5319148936170213
48,PGD,manWoman,alexnet,30_70,bing,0.4650852680206299,0.19,0.6528302,0.7983870967741935,0.524822695035461
49,PGD,manWoman,alexnet,30_70,bing,0.4498448073863983,0.2,0.6603774,0.8225806451612904,0.5177304964539007
50,PGD,manWoman,alexnet,30_70,bing,0.4352911412715912,0.21,0.6415094,0.8145161290322581,0.48936170212765956
51,PGD,manWoman,alexnet,30_70,bing,0.42019328474998474,0.22,0.66415095,0.8467741935483871,0.5035460992907801
52,PGD,manWoman,alexnet,30_70,bing,0.4068085253238678,0.23,0.6679245,0.8709677419354839,0.48936170212765956
53,PGD,manWoman,alexnet,30_70,bing,0.39251798391342163,0.24,0.66415095,0.8951612903225806,0.46099290780141844
54,PGD,manWoman,alexnet,30_70,bing,0.380018025636673,0.25,0.6679245,0.9112903225806451,0.45390070921985815
55,PGD,manWoman,alexnet,30_70,bing,0.3666117191314697,0.26,0.6603774,0.9274193548387096,0.425531914893617
56,PGD,manWoman,alexnet,30_70,bing,0.35498735308647156,0.27,0.6415094,0.9193548387096774,0.3971631205673759
57,PGD,manWoman,alexnet,30_70,bing,0.3427498936653137,0.28,0.6415094,0.9354838709677419,0.3829787234042553
58,PGD,manWoman,alexnet,30_70,bing,0.33193349838256836,0.29,0.62641513,0.9435483870967742,0.3475177304964539
59,PGD,manWoman,alexnet,30_70,bing,0.32080116868019104,0.3,0.6226415,0.9516129032258065,0.3333333333333333
60,PGD,manWoman,alexnet,40_60,bing,0.9567540884017944,0.01,0.05839416,0.043795620437956206,0.072992700729927
61,PGD,manWoman,alexnet,40_60,bing,0.8636772036552429,0.02,0.21167883,0.20437956204379562,0.21897810218978103
