,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RFGSM,manWoman,alexnet,20_80,bing,0.9538719058036804,0.01,0.054263566,0.07894736842105263,0.034722222222222224
1,RFGSM,manWoman,alexnet,20_80,bing,0.8584938049316406,0.02,0.2015504,0.2894736842105263,0.13194444444444445
2,RFGSM,manWoman,alexnet,20_80,bing,0.8147578835487366,0.03,0.28294572,0.37719298245614036,0.20833333333333334
3,RFGSM,manWoman,alexnet,20_80,bing,0.7628085017204285,0.04,0.4496124,0.5964912280701754,0.3333333333333333
4,RFGSM,manWoman,alexnet,20_80,bing,0.7451303005218506,0.05,0.5,0.6754385964912281,0.3611111111111111
5,RFGSM,manWoman,alexnet,20_80,bing,0.7277184128761292,0.06,0.5503876,0.7543859649122807,0.3888888888888889
6,RFGSM,manWoman,alexnet,20_80,bing,0.7215892672538757,0.07,0.5813953,0.7719298245614035,0.4305555555555556
7,RFGSM,manWoman,alexnet,20_80,bing,0.7183008193969727,0.08,0.59302324,0.7807017543859649,0.4444444444444444
8,RFGSM,manWoman,alexnet,20_80,bing,0.7174213528633118,0.09,0.5813953,0.7807017543859649,0.4236111111111111
9,RFGSM,manWoman,alexnet,20_80,bing,0.7174595594406128,0.1,0.59302324,0.7894736842105263,0.4375
10,RFGSM,manWoman,alexnet,20_80,bing,0.7172935605049133,0.11,0.5968992,0.7982456140350878,0.4375
11,RFGSM,manWoman,alexnet,20_80,bing,0.7173578143119812,0.12,0.59302324,0.7894736842105263,0.4375
12,RFGSM,manWoman,alexnet,20_80,bing,0.7176408171653748,0.13,0.60465115,0.7982456140350878,0.4513888888888889
13,RFGSM,manWoman,alexnet,20_80,bing,0.7173649668693542,0.14,0.6007752,0.7894736842105263,0.4513888888888889
14,RFGSM,manWoman,alexnet,20_80,bing,0.7172839045524597,0.15,0.5968992,0.7807017543859649,0.4513888888888889
15,RFGSM,manWoman,alexnet,20_80,bing,0.7176494002342224,0.16,0.59302324,0.7982456140350878,0.4305555555555556
16,RFGSM,manWoman,alexnet,20_80,bing,0.7175735831260681,0.17,0.5968992,0.7982456140350878,0.4375
17,RFGSM,manWoman,alexnet,20_80,bing,0.7175195813179016,0.18,0.59302324,0.7982456140350878,0.4305555555555556
18,RFGSM,manWoman,alexnet,20_80,bing,0.7176808714866638,0.19,0.60465115,0.7982456140350878,0.4513888888888889
19,RFGSM,manWoman,alexnet,20_80,bing,0.7176042199134827,0.2,0.6124031,0.7982456140350878,0.4652777777777778
20,RFGSM,manWoman,alexnet,20_80,bing,0.7176315188407898,0.21,0.6007752,0.7982456140350878,0.4444444444444444
21,RFGSM,manWoman,alexnet,20_80,bing,0.717230498790741,0.22,0.6007752,0.7894736842105263,0.4513888888888889
22,RFGSM,manWoman,alexnet,20_80,bing,0.7175760269165039,0.23,0.6007752,0.7982456140350878,0.4444444444444444
23,RFGSM,manWoman,alexnet,20_80,bing,0.7174362540245056,0.24,0.6085271,0.7982456140350878,0.4583333333333333
24,RFGSM,manWoman,alexnet,20_80,bing,0.7174204587936401,0.25,0.60465115,0.7894736842105263,0.4583333333333333
25,RFGSM,manWoman,alexnet,20_80,bing,0.7174498438835144,0.26,0.6085271,0.7982456140350878,0.4583333333333333
