,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9958346486091614,10,0.023622047,0.04,0.0
1,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9901048541069031,20,0.03937008,0.06666667,0.0
2,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9820241332054138,30,0.047244094,0.07333334,0.009708738
3,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9714207649230957,40,0.0511811,0.07333334,0.019417476
4,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9583600759506226,50,0.09055118,0.14666668,0.009708738
5,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9429874420166016,60,0.12992126,0.21333334,0.009708738
6,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9246330261230469,70,0.16535433,0.26666668,0.019417476
7,RandomBlackBox,manWoman,alexnet,20_80,bing,0.9043116569519043,80,0.19291338,0.32666668,0.0
8,RandomBlackBox,manWoman,alexnet,20_80,bing,0.8813941478729248,90,0.24409449,0.40666667,0.009708738
9,RandomBlackBox,manWoman,alexnet,20_80,bing,0.8568647503852844,100,0.2913386,0.49333334,0.0
10,RandomBlackBox,manWoman,alexnet,20_80,bing,0.8286425471305847,110,0.31496063,0.53333336,0.0
11,RandomBlackBox,manWoman,alexnet,20_80,bing,0.7982661724090576,120,0.31496063,0.53333336,0.0
12,RandomBlackBox,manWoman,alexnet,20_80,bing,0.765762209892273,130,0.36614174,0.61333334,0.009708738
13,RandomBlackBox,manWoman,alexnet,20_80,bing,0.7313001751899719,140,0.37007874,0.61333334,0.019417476
14,RandomBlackBox,manWoman,alexnet,20_80,bing,0.6931461095809937,150,0.38188976,0.64,0.009708738
15,RandomBlackBox,manWoman,alexnet,20_80,bing,0.6527078747749329,160,0.39370078,0.66,0.009708738
16,RandomBlackBox,manWoman,alexnet,20_80,bing,0.6110076308250427,170,0.4015748,0.67333335,0.009708738
17,RandomBlackBox,manWoman,alexnet,20_80,bing,0.5653329491615295,180,0.4015748,0.67333335,0.009708738
18,RandomBlackBox,manWoman,alexnet,20_80,bing,0.5162954330444336,190,0.41338584,0.6933333,0.009708738
19,RandomBlackBox,manWoman,alexnet,20_80,bing,0.4678008556365967,200,0.4094488,0.68666667,0.009708738
20,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9957998394966125,10,0.022304833,0.04,0.0
21,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9902503490447998,20,0.01858736,0.026666667,0.008474576
22,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9819445610046387,30,0.04089219,0.060000002,0.016949153
23,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9713979959487915,40,0.029739777,0.046666667,0.008474576
24,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9579371213912964,50,0.063197024,0.10666667,0.008474576
25,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9424448609352112,60,0.0929368,0.16666667,0.0
26,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9249789714813232,70,0.104089215,0.16666667,0.025423728
27,RandomBlackBox,manWoman,alexnet,30_70,bing,0.9047322273254395,80,0.14869888,0.26000002,0.008474576
28,RandomBlackBox,manWoman,alexnet,30_70,bing,0.882498562335968,90,0.17472118,0.30666667,0.008474576
29,RandomBlackBox,manWoman,alexnet,30_70,bing,0.8564453125,100,0.19330855,0.34,0.008474576
30,RandomBlackBox,manWoman,alexnet,30_70,bing,0.8285990953445435,110,0.21561338,0.38,0.008474576
31,RandomBlackBox,manWoman,alexnet,30_70,bing,0.7981046438217163,120,0.2639405,0.46666667,0.008474576
32,RandomBlackBox,manWoman,alexnet,30_70,bing,0.7655015587806702,130,0.267658,0.46,0.025423728
33,RandomBlackBox,manWoman,alexnet,30_70,bing,0.731234073638916,140,0.28624535,0.49333334,0.025423728
