,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SaltPepper,manWoman,alexnet,20_80,bing,0.641345202922821,0.005,0.15354331,0.17333333,0.116504855
1,SaltPepper,manWoman,alexnet,20_80,bing,0.5786244869232178,0.01,0.22834645,0.24666667,0.19417477
2,SaltPepper,manWoman,alexnet,20_80,bing,0.5360684394836426,0.015,0.2480315,0.28,0.19417477
3,SaltPepper,manWoman,alexnet,20_80,bing,0.5044354200363159,0.02,0.31496063,0.34666666,0.26213592
4,SaltPepper,manWoman,alexnet,20_80,bing,0.4801855981349945,0.025,0.34251967,0.39333335,0.27184466
5,SaltPepper,manWoman,alexnet,20_80,bing,0.4607223570346832,0.03,0.34251967,0.39333335,0.27184466
6,SaltPepper,manWoman,alexnet,20_80,bing,0.44442087411880493,0.035,0.37401575,0.42666668,0.30097088
7,SaltPepper,manWoman,alexnet,20_80,bing,0.430478036403656,0.04,0.38582677,0.45333335,0.29126215
8,SaltPepper,manWoman,alexnet,20_80,bing,0.41813698410987854,0.045,0.38976377,0.45333335,0.30097088
9,SaltPepper,manWoman,alexnet,20_80,bing,0.4072938859462738,0.05,0.41732284,0.48666668,0.32038835
10,SaltPepper,manWoman,alexnet,20_80,bing,0.3973368704319,0.055,0.4566929,0.53333336,0.34951457
11,SaltPepper,manWoman,alexnet,20_80,bing,0.38857483863830566,0.06,0.42913386,0.54,0.27184466
12,SaltPepper,manWoman,alexnet,20_80,bing,0.3802255690097809,0.065,0.46456692,0.5733333,0.3106796
13,SaltPepper,manWoman,alexnet,20_80,bing,0.3724515736103058,0.07,0.4606299,0.56,0.32038835
14,SaltPepper,manWoman,alexnet,20_80,bing,0.36517876386642456,0.075,0.47244096,0.5733333,0.33009708
15,SaltPepper,manWoman,alexnet,20_80,bing,0.3584520220756531,0.08,0.47244096,0.6066667,0.2815534
16,SaltPepper,manWoman,alexnet,20_80,bing,0.35190656781196594,0.085,0.48031497,0.6066667,0.30097088
17,SaltPepper,manWoman,alexnet,20_80,bing,0.3457944095134735,0.09,0.47637796,0.61333334,0.2815534
18,SaltPepper,manWoman,alexnet,20_80,bing,0.3400460481643677,0.095,0.5,0.62666667,0.32038835
19,SaltPepper,manWoman,alexnet,20_80,bing,0.3345503807067871,0.1,0.48818898,0.61333334,0.3106796
20,SaltPepper,manWoman,alexnet,30_70,bing,0.641345202922821,0.005,0.1598513,0.17333333,0.1440678
21,SaltPepper,manWoman,alexnet,30_70,bing,0.5786244869232178,0.01,0.21933085,0.21333334,0.22881356
22,SaltPepper,manWoman,alexnet,30_70,bing,0.5360684394836426,0.015,0.24535316,0.26666668,0.22033899
23,SaltPepper,manWoman,alexnet,30_70,bing,0.5044354200363159,0.02,0.3159851,0.34666666,0.27966103
24,SaltPepper,manWoman,alexnet,30_70,bing,0.4801855981349945,0.025,0.32713753,0.35333335,0.29661018
25,SaltPepper,manWoman,alexnet,30_70,bing,0.4607223570346832,0.03,0.3345725,0.35333335,0.31355932
26,SaltPepper,manWoman,alexnet,30_70,bing,0.44442087411880493,0.035,0.34944236,0.38,0.31355932
27,SaltPepper,manWoman,alexnet,30_70,bing,0.430478036403656,0.04,0.35315984,0.39333335,0.30508474
28,SaltPepper,manWoman,alexnet,30_70,bing,0.41813698410987854,0.045,0.39033458,0.43333334,0.33898306
29,SaltPepper,manWoman,alexnet,30_70,bing,0.4072938859462738,0.05,0.37546468,0.43333334,0.30508474
30,SaltPepper,manWoman,alexnet,30_70,bing,0.3973368704319,0.055,0.3977695,0.47333336,0.30508474
31,SaltPepper,manWoman,alexnet,30_70,bing,0.38857483863830566,0.06,0.42007434,0.5,0.3220339
32,SaltPepper,manWoman,alexnet,30_70,bing,0.3802255690097809,0.065,0.4126394,0.50666666,0.29661018
