,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,Sharpen,manWoman,alexnet,20_80,bing,0.9505577087402344,1,0.038910504,0.07964601769911504,0.006944444444444444
1,Sharpen,manWoman,alexnet,30_70,bing,0.9505577087402344,1,0.03773585,0.08064516129032258,0.0
2,Sharpen,manWoman,alexnet,40_60,bing,0.9505577087402344,1,0.032846715,0.051094890510948905,0.014598540145985401
3,Sharpen,manWoman,alexnet,50_50,bing,0.9505577087402344,1,0.01459854,0.02142857142857143,0.007462686567164179
4,Sharpen,manWoman,resnet,20_80,bing,0.9505577087402344,1,0.010791367,0.022556390977443608,0.0
5,Sharpen,manWoman,resnet,30_70,bing,0.9505577087402344,1,0.01048951,0.014184397163120567,0.006896551724137931
6,Sharpen,manWoman,resnet,40_60,bing,0.9505577087402344,1,0.014084507,0.013986013986013986,0.014184397163120567
7,Sharpen,manWoman,resnet,50_50,bing,0.9505577087402344,1,0.013888889,0.0136986301369863,0.014084507042253521
8,Sharpen,manWoman,vgg,20_80,bing,0.9505577087402344,1,0.02166065,0.03007518796992481,0.013888888888888888
9,Sharpen,manWoman,vgg,30_70,bing,0.9505577087402344,1,0.0036101083,0.0,0.007042253521126761
10,Sharpen,manWoman,vgg,40_60,bing,0.9505577087402344,1,0.010600707,0.013986013986013986,0.007142857142857143
11,Sharpen,manWoman,vgg,50_50,bing,0.9505577087402344,1,0.0035211267,0.0,0.0070921985815602835
12,Sharpen,manWoman,alexnet,20_80,google,0.9551881551742554,1,0.037037037,0.08737864077669903,0.0
13,Sharpen,manWoman,alexnet,30_70,google,0.9551881551742554,1,0.023346303,0.0423728813559322,0.007194244604316547
14,Sharpen,manWoman,alexnet,40_60,google,0.9551881551742554,1,0.022813689,0.031007751937984496,0.014925373134328358
15,Sharpen,manWoman,alexnet,50_50,google,0.9551881551742554,1,0.026515152,0.022058823529411766,0.03125
16,Sharpen,manWoman,resnet,20_80,google,0.9551881551742554,1,0.02247191,0.04065040650406504,0.006944444444444444
17,Sharpen,manWoman,resnet,30_70,google,0.9551881551742554,1,0.018796993,0.0078125,0.028985507246376812
18,Sharpen,manWoman,resnet,40_60,google,0.9551881551742554,1,0.01459854,0.0,0.030534351145038167
19,Sharpen,manWoman,resnet,50_50,google,0.9551881551742554,1,0.033088237,0.02097902097902098,0.046511627906976744
20,Sharpen,manWoman,vgg,20_80,google,0.9551881551742554,1,0.015037594,0.025423728813559324,0.006756756756756757
21,Sharpen,manWoman,vgg,30_70,google,0.9551881551742554,1,0.010791367,0.014598540145985401,0.0070921985815602835
22,Sharpen,manWoman,vgg,40_60,google,0.9551881551742554,1,0.0036363637,0.0,0.007407407407407408
23,Sharpen,manWoman,vgg,50_50,google,0.9551881551742554,1,0.018382354,0.0,0.03787878787878788
