,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,SplitMergeRGB,manWoman,alexnet,20_80,bing,0.7353668212890625,1,0.31102362,0.52000004,0.009708738
1,SplitMergeRGB,manWoman,alexnet,30_70,bing,0.7353668212890625,1,0.31226766,0.56,0.0
2,SplitMergeRGB,manWoman,alexnet,40_60,bing,0.7353668212890625,1,0.19702601,0.33333334,0.025423728
3,SplitMergeRGB,manWoman,alexnet,50_50,bing,0.7353668212890625,1,0.21454546,0.37333333,0.024193548
4,SplitMergeRGB,manWoman,resnet,20_80,bing,0.7353668212890625,1,0.19642857,0.36666667,0.0
5,SplitMergeRGB,manWoman,resnet,30_70,bing,0.7353668212890625,1,0.13214286,0.24000001,0.007751938
6,SplitMergeRGB,manWoman,resnet,40_60,bing,0.7353668212890625,1,0.112676054,0.20666668,0.007518797
7,SplitMergeRGB,manWoman,resnet,50_50,bing,0.7353668212890625,1,0.07092199,0.13333334,0.0
8,SplitMergeRGB,manWoman,vgg,20_80,bing,0.7353668212890625,1,0.22580644,0.42000002,0.0
9,SplitMergeRGB,manWoman,vgg,30_70,bing,0.7353668212890625,1,0.16428572,0.30666667,0.0
10,SplitMergeRGB,manWoman,vgg,40_60,bing,0.7353668212890625,1,0.10992908,0.20666668,0.0
11,SplitMergeRGB,manWoman,vgg,50_50,bing,0.7353668212890625,1,0.09507042,0.18,0.0
12,SplitMergeRGB,manWoman,alexnet,20_80,google,0.7638594508171082,1,0.38333336,0.61333334,0.0
13,SplitMergeRGB,manWoman,alexnet,30_70,google,0.7638594508171082,1,0.2901961,0.45333335,0.05769231
14,SplitMergeRGB,manWoman,alexnet,40_60,google,0.7638594508171082,1,0.3244275,0.54,0.027027028
15,SplitMergeRGB,manWoman,alexnet,50_50,google,0.7638594508171082,1,0.23166023,0.28,0.16666667
16,SplitMergeRGB,manWoman,resnet,20_80,google,0.7638594508171082,1,0.13725491,0.22666667,0.009615385
17,SplitMergeRGB,manWoman,resnet,30_70,google,0.7638594508171082,1,0.09056604,0.120000005,0.05263158
18,SplitMergeRGB,manWoman,resnet,40_60,google,0.7638594508171082,1,0.09363296,0.120000005,0.060344826
19,SplitMergeRGB,manWoman,resnet,50_50,google,0.7638594508171082,1,0.099631,0.1,0.10000001
20,SplitMergeRGB,manWoman,vgg,20_80,google,0.7638594508171082,1,0.229927,0.42000002,0.0
21,SplitMergeRGB,manWoman,vgg,30_70,google,0.7638594508171082,1,0.18909091,0.34666666,0.0
22,SplitMergeRGB,manWoman,vgg,40_60,google,0.7638594508171082,1,0.12408759,0.22666667,0.0
23,SplitMergeRGB,manWoman,vgg,50_50,google,0.7638594508171082,1,0.0992647,0.16666667,0.016528925
