,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,Square,manWoman,alexnet,20_80,bing,0.693876326084137,0.1,0.07751938,0.09649122807017543,0.0625
1,Square,manWoman,alexnet,20_80,bing,0.6109309792518616,0.15,0.1007752,0.18421052631578946,0.034722222222222224
2,Square,manWoman,alexnet,20_80,bing,0.5557408332824707,0.2,0.1007752,0.19298245614035087,0.027777777777777776
3,Square,manWoman,alexnet,20_80,bing,0.5131275057792664,0.25,0.09689923,0.20175438596491227,0.013888888888888888
4,Square,manWoman,alexnet,20_80,bing,0.47248032689094543,0.3,0.09689923,0.20175438596491227,0.013888888888888888
5,Square,manWoman,alexnet,30_70,bing,0.6853940486907959,0.1,0.101886794,0.1532258064516129,0.05673758865248227
6,Square,manWoman,alexnet,30_70,bing,0.6032449007034302,0.15,0.13207547,0.22580645161290322,0.04964539007092199
7,Square,manWoman,alexnet,30_70,bing,0.5412173271179199,0.2,0.16603774,0.2661290322580645,0.07801418439716312
8,Square,manWoman,alexnet,30_70,bing,0.48990556597709656,0.25,0.16226415,0.2661290322580645,0.07092198581560284
9,Square,manWoman,alexnet,30_70,bing,0.44833794236183167,0.3,0.15849057,0.2661290322580645,0.06382978723404255
10,Square,manWoman,alexnet,40_60,bing,0.6628383994102478,0.1,0.097826086,0.08695652173913043,0.10869565217391304
11,Square,manWoman,alexnet,40_60,bing,0.5716643929481506,0.15,0.16666667,0.21739130434782608,0.11594202898550725
12,Square,manWoman,alexnet,40_60,bing,0.5044522285461426,0.2,0.21376812,0.2826086956521739,0.14492753623188406
13,Square,manWoman,alexnet,40_60,bing,0.45340514183044434,0.25,0.2536232,0.3188405797101449,0.18840579710144928
14,Square,manWoman,alexnet,40_60,bing,0.40987148880958557,0.3,0.30434784,0.3333333333333333,0.2753623188405797
15,Square,manWoman,alexnet,50_50,bing,0.6172361969947815,0.1,0.13970588,0.1510791366906475,0.12781954887218044
16,Square,manWoman,alexnet,50_50,bing,0.5193403363227844,0.15,0.26102942,0.2733812949640288,0.24812030075187969
17,Square,manWoman,alexnet,50_50,bing,0.451083779335022,0.2,0.2867647,0.31654676258992803,0.2556390977443609
18,Square,manWoman,alexnet,50_50,bing,0.3990134596824646,0.25,0.29779413,0.3597122302158273,0.23308270676691728
19,Square,manWoman,alexnet,50_50,bing,0.3553747534751892,0.3,0.2867647,0.33093525179856115,0.24060150375939848
20,Square,manWoman,resnet,20_80,bing,0.704559862613678,0.1,0.050541516,0.045454545454545456,0.05517241379310345
21,Square,manWoman,resnet,20_80,bing,0.6241057515144348,0.15,0.079422385,0.11363636363636363,0.04827586206896552
22,Square,manWoman,resnet,20_80,bing,0.5624884963035583,0.2,0.09747292,0.15151515151515152,0.04827586206896552
23,Square,manWoman,resnet,20_80,bing,0.5147656798362732,0.25,0.090252705,0.1590909090909091,0.027586206896551724
24,Square,manWoman,resnet,20_80,bing,0.47256508469581604,0.3,0.0866426,0.1590909090909091,0.020689655172413793
25,Square,manWoman,resnet,30_70,bing,0.6973946690559387,0.1,0.034965035,0.03546099290780142,0.034482758620689655
26,Square,manWoman,resnet,30_70,bing,0.615323007106781,0.15,0.08391608,0.0851063829787234,0.08275862068965517
27,Square,manWoman,resnet,30_70,bing,0.5558608174324036,0.2,0.12237762,0.1347517730496454,0.1103448275862069
28,Square,manWoman,resnet,30_70,bing,0.5099257230758667,0.25,0.11888112,0.14893617021276595,0.0896551724137931
29,Square,manWoman,resnet,30_70,bing,0.47014757990837097,0.3,0.11188811,0.16312056737588654,0.06206896551724138
30,Square,manWoman,resnet,40_60,bing,0.6346428394317627,0.1,0.10211267,0.1258741258741259,0.07801418439716312
31,Square,manWoman,resnet,40_60,bing,0.5332147479057312,0.15,0.16901408,0.2517482517482518,0.0851063829787234
32,Square,manWoman,resnet,40_60,bing,0.45893022418022156,0.2,0.17253521,0.2867132867132867,0.05673758865248227
33,Square,manWoman,resnet,40_60,bing,0.4063062071800232,0.25,0.15492958,0.2727272727272727,0.03546099290780142
34,Square,manWoman,resnet,40_60,bing,0.3651409149169922,0.3,0.16197182,0.2937062937062937,0.028368794326241134
35,Square,manWoman,resnet,50_50,bing,0.6200201511383057,0.1,0.13541667,0.1232876712328767,0.14788732394366197
36,Square,manWoman,resnet,50_50,bing,0.5126689076423645,0.15,0.19791667,0.18493150684931506,0.2112676056338028
37,Square,manWoman,resnet,50_50,bing,0.4391342103481293,0.2,0.2638889,0.23972602739726026,0.2887323943661972
38,Square,manWoman,resnet,50_50,bing,0.3843529522418976,0.25,0.29166666,0.2602739726027397,0.323943661971831
39,Square,manWoman,resnet,50_50,bing,0.3437511622905731,0.3,0.2638889,0.21232876712328766,0.31690140845070425
40,Square,manWoman,vgg,20_80,bing,0.6825606822967529,0.1,0.10108303,0.18045112781954886,0.027777777777777776
