,attack,task,model,balance,dataset,ssim,eps,asr,asr_0,asr_1
0,TIFGSM,manWoman,alexnet,20_80,bing,0.9321372509002686,0.01,0.098425195,0.13333334,0.04854369
1,TIFGSM,manWoman,alexnet,20_80,bing,0.8246521353721619,0.02,0.38188976,0.5466667,0.14563107
2,TIFGSM,manWoman,alexnet,20_80,bing,0.7745329141616821,0.03,0.5748032,0.71333337,0.36893204
3,TIFGSM,manWoman,alexnet,20_80,bing,0.7234331965446472,0.04,0.71259844,0.82,0.5533981
4,TIFGSM,manWoman,alexnet,20_80,bing,0.7025904059410095,0.05,0.7598425,0.87333333,0.592233
5,TIFGSM,manWoman,alexnet,20_80,bing,0.68575519323349,0.06,0.8031496,0.88,0.6893204
6,TIFGSM,manWoman,alexnet,20_80,bing,0.6811618804931641,0.07,0.78740156,0.88,0.65048546
7,TIFGSM,manWoman,alexnet,20_80,bing,0.6778297424316406,0.08,0.8070866,0.90000004,0.6699029
8,TIFGSM,manWoman,alexnet,20_80,bing,0.6778320670127869,0.09,0.7992126,0.8866667,0.6699029
9,TIFGSM,manWoman,alexnet,20_80,bing,0.6779476404190063,0.1,0.8110236,0.8866667,0.69902915
10,TIFGSM,manWoman,alexnet,20_80,bing,0.6781342029571533,0.11,0.8070866,0.8933334,0.6796117
11,TIFGSM,manWoman,alexnet,20_80,bing,0.6778995394706726,0.12,0.7992126,0.8866667,0.6699029
12,TIFGSM,manWoman,alexnet,20_80,bing,0.6779663562774658,0.13,0.8070866,0.8866667,0.6893204
13,TIFGSM,manWoman,alexnet,20_80,bing,0.6777310371398926,0.14,0.8031496,0.8866667,0.6796117
14,TIFGSM,manWoman,alexnet,20_80,bing,0.6778314113616943,0.15,0.8110236,0.8933334,0.6893204
15,TIFGSM,manWoman,alexnet,20_80,bing,0.6779389381408691,0.16,0.8110236,0.8933334,0.6893204
16,TIFGSM,manWoman,alexnet,20_80,bing,0.6778878569602966,0.17,0.8110236,0.8866667,0.69902915
17,TIFGSM,manWoman,alexnet,20_80,bing,0.6778711676597595,0.18,0.8031496,0.8866667,0.6796117
18,TIFGSM,manWoman,alexnet,20_80,bing,0.6778932809829712,0.19,0.8070866,0.8933334,0.6796117
19,TIFGSM,manWoman,alexnet,20_80,bing,0.6777893304824829,0.2,0.8110236,0.8933334,0.6893204
20,TIFGSM,manWoman,alexnet,20_80,bing,0.677730917930603,0.21,0.8110236,0.8933334,0.6893204
21,TIFGSM,manWoman,alexnet,20_80,bing,0.6779599189758301,0.22,0.8110236,0.8866667,0.69902915
22,TIFGSM,manWoman,alexnet,20_80,bing,0.6778171062469482,0.23,0.7992126,0.8933334,0.66019416
23,TIFGSM,manWoman,alexnet,20_80,bing,0.6779317855834961,0.24,0.8031496,0.8866667,0.6796117
24,TIFGSM,manWoman,alexnet,20_80,bing,0.6779110431671143,0.25,0.8070866,0.8866667,0.6893204
25,TIFGSM,manWoman,alexnet,20_80,bing,0.6776582598686218,0.26,0.7992126,0.8933334,0.66019416
26,TIFGSM,manWoman,alexnet,20_80,bing,0.6779137849807739,0.27,0.8070866,0.8866667,0.6893204
27,TIFGSM,manWoman,alexnet,20_80,bing,0.6777284741401672,0.28,0.8110236,0.8933334,0.6893204
28,TIFGSM,manWoman,alexnet,20_80,bing,0.6778002381324768,0.29,0.8031496,0.8866667,0.6796117
29,TIFGSM,manWoman,alexnet,20_80,bing,0.677781879901886,0.3,0.8031496,0.8933334,0.6699029
30,TIFGSM,manWoman,alexnet,30_70,bing,0.9307239055633545,0.01,0.11524163,0.16666667,0.050847456
31,TIFGSM,manWoman,alexnet,30_70,bing,0.8233110308647156,0.02,0.464684,0.56,0.34745762
32,TIFGSM,manWoman,alexnet,30_70,bing,0.7738053798675537,0.03,0.6654275,0.7866667,0.5169492
33,TIFGSM,manWoman,alexnet,30_70,bing,0.7224788069725037,0.04,0.8141264,0.9066667,0.7033898
34,TIFGSM,manWoman,alexnet,30_70,bing,0.7017191648483276,0.05,0.8698885,0.9533334,0.7711865
35,TIFGSM,manWoman,alexnet,30_70,bing,0.6849595904350281,0.06,0.8959108,0.9666667,0.8135593
36,TIFGSM,manWoman,alexnet,30_70,bing,0.6804452538490295,0.07,0.8996282,0.9666667,0.8220339
37,TIFGSM,manWoman,alexnet,30_70,bing,0.6768805384635925,0.08,0.91449815,0.97333336,0.84745765
38,TIFGSM,manWoman,alexnet,30_70,bing,0.6767817139625549,0.09,0.91821563,0.98,0.84745765
39,TIFGSM,manWoman,alexnet,30_70,bing,0.6767744421958923,0.1,0.91449815,0.98,0.83898306
40,TIFGSM,manWoman,alexnet,30_70,bing,0.6769492626190186,0.11,0.92565054,0.9866667,0.8559322
41,TIFGSM,manWoman,alexnet,30_70,bing,0.676669716835022,0.12,0.92193305,0.9866667,0.84745765
42,TIFGSM,manWoman,alexnet,30_70,bing,0.6769687533378601,0.13,0.92193305,0.98,0.8559322
43,TIFGSM,manWoman,alexnet,30_70,bing,0.67681884765625,0.14,0.92565054,0.98,0.86440676
44,TIFGSM,manWoman,alexnet,30_70,bing,0.6767941117286682,0.15,0.91078067,0.98,0.8305085
45,TIFGSM,manWoman,alexnet,30_70,bing,0.6768689155578613,0.16,0.92565054,0.9866667,0.8559322
46,TIFGSM,manWoman,alexnet,30_70,bing,0.6769559979438782,0.17,0.92565054,0.98,0.86440676
47,TIFGSM,manWoman,alexnet,30_70,bing,0.6767405271530151,0.18,0.91078067,0.98,0.8305085
48,TIFGSM,manWoman,alexnet,30_70,bing,0.6767277717590332,0.19,0.91821563,0.9666667,0.86440676
