,attack,model,dataset,balance,best_eps
0,BIM,alexnet,bing,20_80,0.19
1,BIM,alexnet,bing,30_70,0.27
2,BIM,alexnet,bing,40_60,0.27
3,BIM,alexnet,bing,50_50,0.29
4,BIM,resnet,bing,20_80,0.07
5,BIM,resnet,bing,30_70,0.07
6,BIM,resnet,bing,40_60,0.07
7,BIM,resnet,bing,50_50,0.3
8,BIM,vgg,bing,20_80,0.27
9,BIM,vgg,bing,30_70,0.1
10,BIM,vgg,bing,40_60,0.17
11,BIM,vgg,bing,50_50,0.21
12,BIM,alexnet,google,20_80,0.27
13,BIM,alexnet,google,30_70,0.26
14,BIM,alexnet,google,40_60,0.19
15,BIM,alexnet,google,50_50,0.25
16,BIM,resnet,google,20_80,0.06
17,BIM,resnet,google,30_70,0.3
18,BIM,resnet,google,40_60,0.3
19,BIM,resnet,google,50_50,0.3
20,BIM,vgg,google,20_80,0.2
21,BIM,vgg,google,30_70,0.17
22,BIM,vgg,google,40_60,0.12
23,BIM,vgg,google,50_50,0.13
24,BoxBlur,alexnet,bing,20_80,7.0
25,BoxBlur,alexnet,bing,30_70,7.0
26,BoxBlur,alexnet,bing,40_60,7.0
27,BoxBlur,alexnet,bing,50_50,7.0
28,BoxBlur,resnet,bing,20_80,7.0
29,BoxBlur,resnet,bing,30_70,7.0
30,BoxBlur,resnet,bing,40_60,6.5
31,BoxBlur,resnet,bing,50_50,7.0
32,BoxBlur,vgg,bing,20_80,7.0
33,BoxBlur,vgg,bing,30_70,7.0
34,BoxBlur,vgg,bing,40_60,7.0
35,BoxBlur,vgg,bing,50_50,7.0
36,BoxBlur,alexnet,google,20_80,9.0
37,BoxBlur,alexnet,google,30_70,9.0
38,BoxBlur,alexnet,google,40_60,9.0
39,BoxBlur,alexnet,google,50_50,9.0
40,BoxBlur,resnet,google,20_80,9.0
41,BoxBlur,resnet,google,30_70,9.0
42,BoxBlur,resnet,google,40_60,9.0
43,BoxBlur,resnet,google,50_50,9.0
44,BoxBlur,vgg,google,20_80,9.0
45,BoxBlur,vgg,google,30_70,9.0
46,BoxBlur,vgg,google,40_60,8.5
47,BoxBlur,vgg,google,50_50,9.0
48,DeepFool,alexnet,bing,20_80,29.0
49,DeepFool,alexnet,bing,30_70,40.0
50,DeepFool,alexnet,bing,40_60,100.0
51,DeepFool,alexnet,bing,50_50,94.0
52,DeepFool,resnet,bing,20_80,66.0
53,DeepFool,resnet,bing,30_70,27.0
54,DeepFool,resnet,bing,40_60,43.0
55,DeepFool,resnet,bing,50_50,48.0
56,DeepFool,vgg,bing,20_80,58.0
57,DeepFool,vgg,bing,30_70,52.0
58,DeepFool,vgg,bing,40_60,76.0
59,DeepFool,vgg,bing,50_50,73.0
60,DeepFool,alexnet,google,20_80,100.0
61,DeepFool,alexnet,google,30_70,100.0
62,DeepFool,alexnet,google,40_60,97.0
