,source_dataset,target_model,target_dataset,target_balancing,baseline_f1
0,bing,alexnet,bing,20/80,0.9832347
1,bing,alexnet,bing,30/70,0.9832347
2,bing,alexnet,bing,40/60,0.9895158
3,bing,alexnet,bing,50/50,0.9894842
4,bing,resnet,bing,20/80,0.98860824
5,bing,resnet,bing,30/70,0.99107146
6,bing,resnet,bing,40/60,0.99451923
7,bing,resnet,bing,50/50,0.995015
8,bing,vgg,bing,20/80,0.99007934
9,bing,vgg,bing,30/70,0.9915549
10,bing,vgg,bing,40/60,0.9920398
11,bing,vgg,bing,50/50,0.99351615
12,bing,alexnet,google,20/80,0.97553813
13,bing,alexnet,google,30/70,0.98514855
14,bing,alexnet,google,40/60,0.9836715
15,bing,alexnet,google,50/50,0.9875683
16,bing,resnet,google,20/80,0.9837678
17,bing,resnet,google,30/70,0.9895782
18,bing,resnet,google,40/60,0.99152964
19,bing,resnet,google,50/50,0.99147874
20,bing,vgg,google,20/80,0.98567903
21,bing,vgg,google,30/70,0.9890873
22,bing,vgg,google,40/60,0.99153817
23,bing,vgg,google,50/50,0.99002993
24,google,alexnet,bing,20/80,0.9650145
25,google,alexnet,bing,30/70,0.9625669
26,google,alexnet,bing,40/60,0.9676778
27,google,alexnet,bing,50/50,0.96703297
28,google,resnet,bing,20/80,0.9698737
29,google,resnet,bing,30/70,0.9749386
30,google,resnet,bing,40/60,0.9831516
31,google,resnet,bing,50/50,0.984
32,google,vgg,bing,20/80,0.9735812
33,google,vgg,bing,30/70,0.98019797
34,google,vgg,bing,40/60,0.9796526
35,google,vgg,bing,50/50,0.98296595
36,google,alexnet,google,20/80,0.95564127
37,google,alexnet,google,30/70,0.9650762
38,google,alexnet,google,40/60,0.9748644
39,google,alexnet,google,50/50,0.9741035
40,google,resnet,google,20/80,0.96385545
41,google,resnet,google,30/70,0.98280096
42,google,resnet,google,40/60,0.9831182
43,google,resnet,google,50/50,0.98902196
44,google,vgg,google,20/80,0.96836984
45,google,vgg,google,30/70,0.9817103
46,google,vgg,google,40/60,0.9820896
47,google,vgg,google,50/50,0.9825784
