,source_dataset,target_model,target_dataset,target_balancing,baseline_f1
0,google,alexnet,bing,20/80,0.94813377
1,google,alexnet,bing,30/70,0.9475747
2,google,alexnet,bing,40/60,0.9502538
3,google,alexnet,bing,50/50,0.95271987
4,google,resnet,bing,20/80,0.97244096
5,google,resnet,bing,30/70,0.9771372
6,google,resnet,bing,40/60,0.9774209
7,google,resnet,bing,50/50,0.98438287
8,google,vgg,bing,20/80,0.9763779
9,google,vgg,bing,30/70,0.97920793
10,google,vgg,bing,40/60,0.9771372
11,google,vgg,bing,50/50,0.9849094
12,google,alexnet,google,20/80,0.94808346
13,google,alexnet,google,30/70,0.9583129
14,google,alexnet,google,40/60,0.9580838
15,google,alexnet,google,50/50,0.9581864
16,google,resnet,google,20/80,0.9735294
17,google,resnet,google,30/70,0.9764244
18,google,resnet,google,40/60,0.98498505
19,google,resnet,google,50/50,0.9828629
20,google,vgg,google,20/80,0.9827331
21,google,vgg,google,30/70,0.9836228
22,google,vgg,google,40/60,0.9869739
23,google,vgg,google,50/50,0.9859438
24,bing,alexnet,bing,20/80,0.9357449
25,bing,alexnet,bing,30/70,0.9429952
26,bing,alexnet,bing,40/60,0.951049
27,bing,alexnet,bing,50/50,0.95791584
28,bing,resnet,bing,20/80,0.96875
29,bing,resnet,bing,30/70,0.97738445
30,bing,resnet,bing,40/60,0.9785536
31,bing,resnet,bing,50/50,0.9809045
32,bing,vgg,bing,20/80,0.9740831
33,bing,vgg,bing,30/70,0.97793037
34,bing,vgg,bing,40/60,0.97819626
35,bing,vgg,bing,50/50,0.9808854
36,bing,alexnet,google,20/80,0.9419664
37,bing,alexnet,google,30/70,0.95136184
38,bing,alexnet,google,40/60,0.96377176
39,bing,alexnet,google,50/50,0.9576613
40,bing,resnet,google,20/80,0.9706457
41,bing,resnet,google,30/70,0.9763546
42,bing,resnet,google,40/60,0.9781094
43,bing,resnet,google,50/50,0.97987926
44,bing,vgg,google,20/80,0.9745846
45,bing,vgg,google,30/70,0.9793308
46,bing,vgg,google,40/60,0.9815461
47,bing,vgg,google,50/50,0.9808468
