,source_dataset,target_model,target_dataset,target_balancing,baseline_f1
0,bing,alexnet,bing,20/80,0.85283685
1,bing,alexnet,bing,30/70,0.8738948
2,bing,alexnet,bing,40/60,0.8857421
3,bing,alexnet,bing,50/50,0.9044266
4,bing,resnet,bing,20/80,0.917096
5,bing,resnet,bing,30/70,0.93007666
6,bing,resnet,bing,40/60,0.9403059
7,bing,resnet,bing,50/50,0.9523809
8,bing,vgg,bing,20/80,0.9208155
9,bing,vgg,bing,30/70,0.9254449
10,bing,vgg,bing,40/60,0.9488978
11,bing,vgg,bing,50/50,0.9480585
12,bing,alexnet,google,20/80,0.82182443
13,bing,alexnet,google,30/70,0.86657363
14,bing,alexnet,google,40/60,0.89726025
15,bing,alexnet,google,50/50,0.8927301
16,bing,resnet,google,20/80,0.8939671
17,bing,resnet,google,30/70,0.91271347
18,bing,resnet,google,40/60,0.935078
19,bing,resnet,google,50/50,0.9366834
20,bing,vgg,google,20/80,0.88359547
21,bing,vgg,google,30/70,0.92417747
22,bing,vgg,google,40/60,0.94240314
23,bing,vgg,google,50/50,0.93969846
24,google,alexnet,bing,20/80,0.81327087
25,google,alexnet,bing,30/70,0.84129846
26,google,alexnet,bing,40/60,0.85441524
27,google,alexnet,bing,50/50,0.8696088
28,google,resnet,bing,20/80,0.8859368
29,google,resnet,bing,30/70,0.9119319
30,google,resnet,bing,40/60,0.91596216
31,google,resnet,bing,50/50,0.9265079
32,google,vgg,bing,20/80,0.89976686
33,google,vgg,bing,30/70,0.9101449
34,google,vgg,bing,40/60,0.9100152
35,google,vgg,bing,50/50,0.9152543
36,google,alexnet,google,20/80,0.82051283
37,google,alexnet,google,30/70,0.8609576
38,google,alexnet,google,40/60,0.86343616
39,google,alexnet,google,50/50,0.85890204
40,google,resnet,google,20/80,0.8914443
41,google,resnet,google,30/70,0.9048525
42,google,resnet,google,40/60,0.92126787
43,google,resnet,google,50/50,0.92526686
44,google,vgg,google,20/80,0.8840183
45,google,vgg,google,30/70,0.9208494
46,google,vgg,google,40/60,0.930931
47,google,vgg,google,50/50,0.9279509
